Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
4/28/26,80.994,0.99,,,1.229,R,Y,Y,1.22,DnUp
4/29/26,80.538,0.97,,,0.949,Y,R,R,1.13,DnUp
4/30/26,81.955,1.01,,,1.367,G,G,G,1.21,UpUp
5/1/26,82.001,1.02,,,1.468,G,G,G,1.26,UpUp
5/4/26,81.534,1.0,,,1.221,R,Y,Y,1.22,DnUp
5/5/26,82.517,1.02,,,1.555,Y,G,G,1.3,UpUp
5/6/26,83.639,1.05,,,1.937,G,G,G,1.44,UpUp
5/7/26,82.763,1.03,,,1.636,Y,Y,Y,1.41,UpUp
5/8/26,83.268,1.03,,,1.643,G,Y,Y,1.42,UpUp
5/11/26,83.364,1.024,27.8,18.8,1.482,Y,Y,Y,1.401,UpUp
