Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,59.22,-0.99,-1.64,59.22,1.00,1.00,1.74,1.33,B,51.05,0,0.00,0.00,999.99,0.00,0.32,0.54,58,18,0.94,59.80,60.73,57.59,3.14,91005192,102343785,-11.08,0.00,0,0.00,0.00,520.75,30838.82,1.51,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,651.42,-3.69,-0.56,651.42,1.00,1.00,1.30,1.12,B,594.76,0,0.00,0.00,999.99,0.00,2.81,0.43,58,13,0.89,653.55,656.92,645.52,11.40,39178684,62828887,-37.64,0.00,0,0.00,0.00,655.55,427038.36,1.34,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,81.556,-0.342,-0.42,73.87,0.91,0.86,0.99,0.95,H,76.14,5,0.74,0.91,110.21,0.05,0.97,1.19,55,10,1.06,81.80,81.952,80.866,1.09,1784816,1911679,-6.64,5098.82,-1,19.25,4.24,264.85,21600.11,0.86,VV COMPOSITE,VV COMPOSITE
