Date,Open,High,Low,Close,Volume,RT
7/22/26,703.62,709.65,703.62,705.35,22936872,1.09
7/23/26,694.67,698.66,687.79,691.96,41692608,1.02
7/24/26,690.41,692.63,682.48,684.23,41597016,0.99
7/27/26,691.68,692.3,675.945,682.12,42270752,0.98
7/28/26,676.23,679.4,667.88,675.49,49675488,0.93
7/29/26,675.505,680.05,661.14,661.73,54692968,0.89
7/30/26,674.76,685.12,673.3,683.55,65000768,0.99
7/31/26,692.11,695.77,680.051,687.99,50028420,1.01
8/3/26,688.3,701.59,685.82,700.07,44351312,1.05
8/4/26,708.205,725.65,707.59,723.39,52892086,1.16
