Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
Invesco QQQ Trust Series 1,QQQ,xO,588.59,+0.09,+0.02,588.59,1.00,1.00,1.02,1.01,H,564.81,0,0.00,0.00,999.99,0.00,2.81,0.48,58,13,0.89,585.64,588.98,578.40,10.58,44019696,67642798,-34.92,0.00,0,0.00,0.00,642.75,378316.24,1.28,ETFs (US\LargeCap),ETFs
ProShares UltraPro QQQ,TQQQ,xO,44.15,+0.05,+0.11,44.15,1.00,1.00,0.91,0.97,S,44.34,0,0.00,0.00,999.99,0.00,0.32,0.72,58,18,0.94,43.45,44.21,41.84,2.37,112536440,105941995,+6.22,0.00,0,0.00,0.00,579.60,25589.34,1.28,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,76.91,-0.066,-0.09,72.16,0.92,0.85,0.87,0.91,H,74.12,5,0.82,1.06,93.79,0.06,0.97,1.26,55,10,1.06,76.81,76.917,76.333,0.58,1931597,1990680,-2.97,5123.64,-1,19.33,3.98,265.05,20385.00,0.79,VV COMPOSITE,VV COMPOSITE
