Date,Open,High,Low,Close,Volume,RT
7/17/26,691.65,702.3,686.76,695.33,53690868,1.05
7/20/26,702.16,705.8,695.51,696.06,28995796,1.06
7/21/26,706.57,710.05,702.8,708.97,33075484,1.1
7/22/26,703.62,709.65,703.62,705.35,22936872,1.09
7/23/26,694.67,698.66,687.79,691.96,41692608,1.02
7/24/26,690.41,692.63,682.48,684.23,41597016,0.99
7/27/26,691.68,692.3,675.945,682.12,42270752,0.98
7/28/26,676.23,679.4,667.88,675.49,49675488,0.93
7/29/26,675.505,680.05,661.14,661.73,54692968,0.89
7/30/26,674.69,685.12,673.3,683.55,60460251,0.99
