Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,71.34,-0.23,-0.32,71.34,1.00,1.00,1.92,1.42,B,56.32,0,0.00,0.00,999.99,0.00,0.32,0.45,58,18,0.93,71.87,73.295,70.38,2.92,90404816,97186791,-6.98,0.00,0,0.00,0.00,483.80,34514.29,1.63,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,694.94,-0.83,-0.12,694.94,1.00,1.00,1.45,1.19,B,618.93,0,0.00,0.00,999.99,0.00,2.81,0.40,58,13,0.89,696.58,701.24,691.77,9.47,41966596,57130944,-26.54,0.00,0,0.00,0.00,653.75,454317.03,1.39,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,82.763,-0.876,-1.05,75.09,0.91,0.86,1.03,0.97,H,76.71,5,0.75,0.91,110.35,0.05,0.95,1.15,55,10,1.05,83.738,83.745,82.654,1.09,1916556,1871458,+2.41,5088.12,-2,19.50,4.24,260.97,21598.66,0.87,VV COMPOSITE,VV COMPOSITE
