Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,77.24,+2.28,+3.04,77.24,1.00,1.00,1.92,1.42,B,60.15,0,0.00,0.00,999.99,0.00,0.32,0.41,58,18,0.93,75.81,77.94,74.19,3.75,62610844,93933637,-33.35,0.00,0,0.00,0.00,461.55,35650.12,1.62,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,714.71,+7.47,+1.06,714.71,1.00,1.00,1.50,1.21,B,634.00,0,0.00,0.00,999.99,0.00,2.81,0.39,58,13,0.89,709.96,716.65,704.83,11.82,38635952,53725069,-28.09,0.00,0,0.00,0.00,653.10,466777.10,1.40,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,82.795,+0.071,+0.09,74.68,0.91,0.85,1.01,0.96,H,76.99,5,0.75,0.91,110.39,0.05,0.94,1.14,55,10,1.06,82.882,82.922,82.293,0.63,1889923,1856724,+1.79,5086.34,-2,19.46,4.26,261.43,21645.10,0.86,VV COMPOSITE,VV COMPOSITE
