Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,48.00,+3.85,+8.72,48.00,1.00,1.00,1.21,1.08,H,45.85,0,0.00,0.00,999.99,0.00,0.32,0.67,58,18,0.94,48.64,48.92,47.15,1.77,100443200,107070349,-6.19,0.00,0,0.00,0.00,579.60,27820.80,1.30,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,606.09,+17.50,+2.97,606.09,1.00,1.00,1.12,1.05,H,571.26,0,0.00,0.00,999.99,0.00,2.81,0.46,58,13,0.89,608.71,609.90,602.12,7.78,62119408,67815618,-8.40,0.00,0,0.00,0.00,639.25,387443.05,1.28,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,79.061,+2.151,+2.80,72.91,0.92,0.85,0.93,0.93,H,74.90,5,0.81,1.02,97.61,0.06,0.97,1.23,55,10,1.06,78.379,79.179,78.379,0.80,2074434,1991442,+4.17,5125.79,-1,19.32,4.09,265.36,20979.63,0.80,VV COMPOSITE,VV COMPOSITE
