Date,Open,High,Low,Close,Volume,RT
7/8/26,704.95,712.26,700.91,711.44,34134824,1.17
7/9/26,718.33,724.23,715.125,723.28,33195424,1.23
7/10/26,720.7,726.39,717.0,725.51,25289644,1.24
7/13/26,717.72,718.74,710.08,711.74,35333496,1.17
7/14/26,720.22,722.29,714.34,719.69,28697876,1.17
7/15/26,723.85,724.36,710.23,717.74,31906444,1.16
7/16/26,712.01,713.599,702.61,705.94,37450848,1.1
7/17/26,691.65,702.3,686.76,695.33,53690868,1.05
7/20/26,702.16,705.8,695.51,696.06,28995796,1.06
7/21/26,706.68,710.05,702.81,709.09,28307590,1.1
