Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,76.28,+4.94,+6.92,76.28,1.00,1.00,1.99,1.46,B,57.80,0,0.00,0.00,999.99,0.00,0.32,0.42,58,18,0.93,72.82,76.31,72.695,3.62,68039440,96905584,-29.79,0.00,0,0.00,0.00,478.80,36522.86,1.63,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,711.23,+16.29,+2.34,711.23,1.00,1.00,1.52,1.22,B,625.65,0,0.00,0.00,999.99,0.00,2.81,0.40,58,13,0.89,699.92,711.23,699.50,11.73,43567032,56058583,-22.28,0.00,0,0.00,0.00,656.05,466602.42,1.40,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,83.268,+0.505,+0.61,75.50,0.91,0.86,1.03,0.97,H,76.89,5,0.75,0.90,111.02,0.05,0.94,1.13,55,10,1.06,83.052,83.302,82.915,0.39,1803130,1870078,-3.58,5081.53,-2,19.50,4.27,260.58,21697.97,0.87,VV COMPOSITE,VV COMPOSITE
