Date,Open,High,Low,Close,Volume,RT
6/29/26,713.99,724.58,705.172,724.08,41838940,1.38
6/30/26,724.18,737.62,723.91,736.4,40059904,1.38
7/1/26,729.19,731.92,724.6,725.17,38884824,1.32
7/2/26,725.58,730.83,707.56,712.6,49818492,1.25
7/6/26,719.93,726.08,718.45,722.82,29416924,1.3
7/7/26,714.17,716.35,704.9,709.43,41215728,1.16
7/8/26,704.95,712.26,700.91,711.44,34134824,1.17
7/9/26,718.33,724.23,715.125,723.28,33195424,1.23
7/10/26,720.7,726.39,717.0,725.51,25289644,1.24
7/13/26,717.72,718.74,710.1,711.855,33998136,1.17
