Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,67.39,+2.48,+3.82,67.39,1.00,1.00,1.86,1.39,B,55.08,0,0.00,0.00,999.99,0.00,0.32,0.47,58,18,0.94,66.37,67.769,66.25,1.52,51035364,97183644,-47.49,0.00,0,0.00,0.00,481.65,32458.39,1.61,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,681.61,+8.73,+1.30,681.61,1.00,1.00,1.41,1.17,B,613.40,0,0.00,0.00,999.99,0.00,2.81,0.41,58,13,0.89,677.96,682.773,677.51,5.26,35231200,57850897,-39.10,0.00,0,0.00,0.00,658.60,448908.32,1.40,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,82.517,+0.983,+1.21,74.88,0.91,0.86,1.02,0.97,H,76.59,5,0.74,0.90,111.51,0.05,0.95,1.15,55,10,1.06,81.936,82.628,81.936,0.69,1613451,1867851,-13.62,5114.47,-1,19.27,4.28,265.42,21901.66,0.88,VV COMPOSITE,VV COMPOSITE
