Date,Open,High,Low,Close,Volume,RT
5/20/26,705.29,713.15,703.79,713.15,35933264,1.48
5/21/26,708.99,717.12,706.77,714.51,35994920,1.49
5/22/26,718.07,722.12,715.95,717.54,32244672,1.51
5/26/26,725.96,731.17,724.16,730.28,33502604,1.55
5/27/26,732.96,733.32,725.44,729.45,33945744,1.54
5/28/26,729.73,736.6,726.41,735.6,31927248,1.57
5/29/26,737.84,741.63,735.25,738.31,38798316,1.58
6/1/26,737.04,745.65,735.99,742.74,32435218,1.56
6/2/26,742.46,746.44,739.23,746.16,28237100,1.57
6/3/26,747.345,748.63,741.02,744.07,36226576,1.56
