Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,62.64,+0.08,+0.13,62.64,1.00,1.00,1.80,1.36,B,52.48,0,0.00,0.00,999.99,0.00,0.32,0.51,58,18,0.94,62.41,62.70,61.64,1.06,54573208,101314581,-46.13,0.00,0,0.00,0.00,514.90,32253.34,1.56,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,664.23,+0.35,+0.05,664.23,1.00,1.00,1.35,1.15,B,601.53,0,0.00,0.00,999.99,0.00,2.81,0.42,58,13,0.89,663.40,664.43,660.69,3.74,32167144,61708994,-47.87,0.00,0,0.00,0.00,654.90,435004.23,1.36,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,81.715,-0.075,-0.09,74.01,0.91,0.86,0.99,0.96,H,76.19,5,0.71,0.87,115.09,0.05,0.96,1.17,55,10,1.06,81.763,81.933,81.622,0.31,1580432,1893657,-16.54,5088.42,-1,19.14,4.27,265.87,21725.57,0.87,VV COMPOSITE,VV COMPOSITE
