Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,61.86,+1.12,+1.84,61.86,1.00,1.00,1.77,1.35,B,52.56,0,0.00,0.00,999.99,0.00,0.32,0.52,58,18,0.94,61.00,61.868,60.45,1.42,69626600,99171050,-29.79,0.00,0,0.00,0.00,500.45,30957.84,1.58,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,661.57,+4.02,+0.61,661.57,1.00,1.00,1.34,1.14,B,601.95,0,0.00,0.00,999.99,0.00,2.81,0.42,58,13,0.89,658.63,661.72,656.59,5.13,28667854,60299008,-52.46,0.00,0,0.00,0.00,651.55,431045.93,1.38,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,80.538,-0.456,-0.56,74.08,0.92,0.86,0.97,0.94,H,75.86,5,0.74,0.92,108.84,0.05,0.96,1.19,55,10,1.06,81.143,81.143,80.283,0.86,1624956,1882604,-13.69,5078.81,-2,19.16,4.20,265.10,21350.62,0.87,VV COMPOSITE,VV COMPOSITE
