Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,53.41,+2.75,+5.43,53.41,1.00,1.00,1.55,1.24,B,48.14,0,0.00,0.00,999.99,0.00,0.32,0.60,58,18,0.94,51.39,53.43,51.38,2.05,70198496,106111870,-33.84,0.00,0,0.00,0.00,560.30,29925.62,1.33,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,628.60,+11.21,+1.82,628.60,1.00,1.00,1.23,1.09,B,581.22,0,0.00,0.00,999.99,0.00,2.81,0.45,58,13,0.89,620.22,628.60,620.10,8.50,49026220,66431063,-26.20,0.00,0,0.00,0.00,646.20,406201.31,1.28,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,80.668,+0.634,+0.79,72.83,0.91,0.86,0.97,0.95,H,75.53,5,0.80,0.99,100.84,0.05,0.97,1.20,55,10,1.06,80.248,80.709,80.228,0.48,1817946,1958254,-7.16,5121.47,-1,19.31,4.18,265.24,21396.38,0.81,VV COMPOSITE,VV COMPOSITE
