Date,Open,High,Low,Close,Volume,RT
7/13/26,717.72,718.74,710.08,711.74,35333496,1.17
7/14/26,720.22,722.29,714.34,719.69,28697876,1.17
7/15/26,723.85,724.36,710.23,717.74,31906444,1.16
7/16/26,712.01,713.599,702.61,705.94,37450848,1.1
7/17/26,691.65,702.3,686.76,695.33,53690868,1.05
7/20/26,702.16,705.8,695.51,696.06,28995796,1.06
7/21/26,706.57,710.05,702.8,708.97,33075484,1.1
7/22/26,703.62,709.65,703.62,705.35,22936872,1.09
7/23/26,694.67,698.66,687.79,691.96,41692608,1.02
7/24/26,690.25,692.63,682.48,684.23,39635199,0.99
