Date,Open,High,Low,Close,Volume,RT
5/8/26,699.92,711.23,699.5,711.23,43567032,1.52
5/11/26,710.36,714.59,708.91,713.29,35673640,1.49
5/12/26,708.22,710.18,696.64,707.24,43812656,1.46
5/13/26,709.96,716.65,704.83,714.71,38635952,1.5
5/14/26,714.62,722.03,714.22,719.79,31339540,1.51
5/15/26,710.14,715.13,705.55,708.93,51343552,1.45
5/18/26,711.54,712.07,698.85,705.88,49308376,1.44
5/19/26,699.81,706.49,695.25,701.53,45651016,1.41
5/20/26,705.29,713.15,703.79,713.15,35933264,1.48
5/21/26,708.99,717.12,706.77,714.51,35814391,1.49
