Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,58.08,-0.51,-0.87,58.08,1.00,1.00,1.72,1.32,B,50.66,0,0.00,0.00,999.99,0.00,0.32,0.55,58,18,0.94,58.40,58.58,56.91,1.67,65486656,102932209,-36.38,0.00,0,0.00,0.00,546.60,31746.53,1.45,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,646.79,-2.06,-0.32,646.79,1.00,1.00,1.29,1.12,B,592.47,0,0.00,0.00,999.99,0.00,2.81,0.43,58,13,0.89,648.04,648.76,642.52,6.24,36858900,64367548,-42.74,0.00,0,0.00,0.00,654.60,423388.70,1.30,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,82.315,+0.207,+0.25,73.42,0.90,0.86,1.01,0.96,H,76.37,5,0.77,0.94,106.90,0.05,0.97,1.18,55,10,1.06,81.772,82.328,81.772,0.56,1731263,1922023,-9.92,5114.62,-1,19.29,4.27,265.15,21825.82,0.85,VV COMPOSITE,VV COMPOSITE
