Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,48.96,+0.96,+2.00,48.96,1.00,1.00,1.28,1.12,H,46.24,0,0.00,0.00,999.99,0.00,0.32,0.65,58,18,0.94,48.015,49.09,47.31,1.78,76830880,108100018,-28.93,0.00,0,0.00,0.00,574.65,28134.86,1.31,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,610.19,+4.10,+0.68,610.19,1.00,1.00,1.14,1.06,H,572.79,0,0.00,0.00,999.99,0.00,2.81,0.46,58,13,0.89,605.93,610.50,603.03,7.47,36992284,68302527,-45.84,0.00,0,0.00,0.00,644.30,393145.41,1.27,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,79.373,+0.312,+0.39,73.00,0.92,0.85,0.93,0.93,H,75.02,5,0.81,1.02,97.99,0.06,0.98,1.23,55,10,1.05,78.964,79.564,78.759,0.81,1696509,1995845,-15.00,5121.39,-1,19.32,4.11,265.14,21044.96,0.80,VV COMPOSITE,VV COMPOSITE
